task,dataset,variant,loss_pct,effort_saved_pct,n_paired_runs,sample_budget,q
regression,210_cloud,"samples=2,q=0.9",6.278509516847058,31.59504065141367,100,2,0.9
regression,210_cloud,"samples=2,q=0.95",8.043038249654561,31.494967758507393,100,2,0.95
regression,210_cloud,"samples=ln_n,q=0.5",4.385336236607362,24.61085167889704,100,ln_n,0.5
regression,210_cloud,"samples=ln_n,q=0.75",0.23698375089804546,20.553733624410413,100,ln_n,0.75
regression,210_cloud,"samples=ln_n,q=0.9",2.5316351171895066,17.20131334822941,100,ln_n,0.9
regression,210_cloud,"samples=ln_n,q=0.95",5.669208948819065,17.895263509006,100,ln_n,0.95
regression,210_cloud,"samples=sqrt_n,q=0.5",7.2043200231734055,38.14977557347559,100,sqrt_n,0.5
regression,210_cloud,"samples=sqrt_n,q=0.75",4.190570627681233,36.14833255158726,100,sqrt_n,0.75
regression,210_cloud,"samples=sqrt_n,q=0.9",2.485229512801579,33.66876149391116,100,sqrt_n,0.9
regression,210_cloud,"samples=sqrt_n,q=0.95",5.4248402553673305,33.30182487448975,100,sqrt_n,0.95
regression,215_2dplanes,"samples=0.1n,q=0.5",-0.133273596208483,-21.5582257238935,100,0.1n,0.5
regression,215_2dplanes,"samples=0.1n,q=0.75",-0.133273596208483,-21.5582257238935,100,0.1n,0.75
regression,215_2dplanes,"samples=0.1n,q=0.9",-0.133273596208483,-21.5582257238935,100,0.1n,0.9
regression,215_2dplanes,"samples=0.1n,q=0.95",-0.133273596208483,-21.5582257238935,100,0.1n,0.95
regression,215_2dplanes,"samples=10,q=0.5",-0.07295710554727775,-33.15315636358925,100,10,0.5
regression,215_2dplanes,"samples=10,q=0.75",-0.07295710554727775,-33.15315636358925,100,10,0.75
regression,215_2dplanes,"samples=10,q=0.9",-0.687822998668397,-33.73564037605531,100,10,0.9
regression,215_2dplanes,"samples=10,q=0.95",-0.687822998668397,-33.73564037605531,100,10,0.95
regression,215_2dplanes,"samples=2,q=0.5",-0.07295710554727775,-33.15315636358925,100,2,0.5
regression,215_2dplanes,"samples=2,q=0.75",-0.07295710554727775,-33.15315636358925,100,2,0.75
