task,metric,unit,method_key,splitter,variant,analysis_tier,reference_method,method_selection_tier,n_paired_datasets,n_nonzero_differences,mean_paired_effect,median_paired_effect,fraction_favorable_or_tied,wilcoxon_pvalue_raw,signed_rank_biserial,centroid_hierarchical_ci_low,centroid_hierarchical_ci_high,median_hierarchical_ci_low,median_hierarchical_ci_high,wilcoxon_pvalue_holm,reject_holm_0.05
classification_gini,effort_saved_pct,percent_gain_evaluations,double_secretary|1overe,double_secretary,1overe,confirmatory,best|,revision_designated_representative,122,122,-6.5126506715989878,-1.0997406735341331,0.44262295081967212,0.0011084338636719103,-0.3402638944422231,-9.3624225571094595,-3.8577498701549358,-5.0160292520846124,0.74355613792623487,0.0011084338636719103,True
classification_gini,effort_saved_pct,percent_gain_evaluations,secretary_all|1overe,secretary_all,1overe,confirmatory,best|,revision_designated_representative,122,119,14.869330816292072,15.272790190397165,1,2.8809188185621938e-21,1,13.820410667623976,15.910321271474189,14.142195238908025,16.272247721819035,2.304735054849755e-20,True
classification_gini,effort_saved_pct,percent_gain_evaluations,block_rank|,block_rank,,confirmatory,best|,revision_designated_representative,122,122,63.093518164715334,71.894136008181448,0.93442622950819676,9.4227847271284387e-21,0.97467679594828738,57.226675199962443,68.507329847554089,65.365499851976338,75.592869941113477,6.5959493089899073e-20,True
classification_gini,effort_saved_pct,percent_gain_evaluations,prophet_1sample|,prophet_1sample,,confirmatory,best|,revision_designated_representative,122,114,39.560529814519576,41.502298724961911,0.97540983606557374,3.6152952410042996e-20,0.99267734553775744,34.33565535989122,44.769556968485226,31.739778325678625,51.889689052227631,1.4416846400384353e-19,True
classification_gini,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,best|,revision_designated_representative,122,122,81.648019741119143,96.336503657363977,0.95901639344262291,3.6042116000960882e-20,0.95974943355990938,75.163358278064123,87.284423749304963,92.802626216109601,97.691403217500252,1.4416846400384353e-19,True
classification_gini,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,best|,revision_designated_representative,122,122,69.668355280884853,89.251782076345265,0.91803278688524592,1.1860949367008123e-18,0.91976542716246834,61.3933280772955,77.119159975529811,83.748767352713344,93.859757386930582,2.3721898734016246e-18,True
classification_gini,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,best|,revision_designated_representative,122,122,66.979670956162707,84.1032924617883,0.90163934426229508,1.7193687512869704e-20,0.96801279488204717,60.225629967606693,73.329129854211473,76.0343742496743,90.520999474686292,9.4654724640566834e-20,True
classification_gini,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,best|,revision_designated_representative,122,115,67.348827166674198,84.573821111420983,0.98360655737704916,1.5775787440094472e-20,0.99790104947526237,61.135122373699858,73.122260910359003,77.921288411680507,88.69743812058195,9.4654724640566834e-20,True
classification_entropy,time_saved_pct,percent_training_time,secretary|1overe,secretary,1overe,confirmatory,best|,revision_designated_representative,122,122,12.58724539881112,10.957264058739398,0.72950819672131151,5.5971173219718868e-12,0.71877915500466483,9.798860484942848,15.286300493463383,7.8474846581518705,16.057386848012744,1.1194234643943774e-11,True
classification_entropy,time_saved_pct,percent_training_time,double_secretary|1overe,double_secretary,1overe,confirmatory,best|,revision_designated_representative,122,122,4.9500829939525408,4.6143072504207456,0.86065573770491799,5.0274069108499972e-16,0.84619485539117689,3.9078633099716851,5.8052370886074538,3.6846722224143305,6.290568344019472,1.5082220732549992e-15,True
classification_entropy,time_saved_pct,percent_training_time,secretary_all|1overe,secretary_all,1overe,confirmatory,best|,revision_designated_representative,122,122,12.590728754327429,12.726159804488635,0.96721311475409832,2.7284532645232707e-21,0.98827135812341727,11.201379775361199,13.853845096534242,10.588999160038298,14.923072544345159,1.0913813058093083e-20,True
classification_entropy,time_saved_pct,percent_training_time,block_rank|,block_rank,,confirmatory,best|,revision_designated_representative,122,122,45.076776515837011,40.426747260941603,0.97540983606557374,1.3384168364165255e-21,0.9960015993602559,39.634973762229123,50.432500808681091,32.17269271152076,57.142880938207426,1.0707334691332204e-20,True
classification_entropy,time_saved_pct,percent_training_time,prophet_1sample|,prophet_1sample,,confirmatory,best|,revision_designated_representative,122,122,17.225130512889304,11.929399801233043,0.68032786885245899,1.829009864718091e-06,0.49780087964814074,11.007117684935825,23.362886411465954,4.8383989042871232,19.318503999587858,1.829009864718091e-06,True
classification_entropy,time_saved_pct,percent_training_time,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,best|,revision_designated_representative,122,122,54.729075520935247,55.000667168360678,0.99180327868852458,9.7087300983946145e-22,0.99946687991470073,48.682662874025745,60.477413703644928,40.924551048922723,72.136664733011258,8.7378570885551529e-21,True
classification_entropy,time_saved_pct,percent_training_time,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,best|,revision_designated_representative,122,122,49.266057772195438,48.660432108062238,0.96721311475409832,1.3384168364165255e-21,0.9960015993602559,43.402149307551099,54.901886757929944,35.824718042537157,58.294068637200702,1.0707334691332204e-20,True
classification_entropy,time_saved_pct,percent_training_time,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,best|,revision_designated_representative,122,122,43.907800274157459,38.560252512742537,0.96721311475409832,1.7120709787349388e-21,0.99333599893375979,38.27060425210648,49.539532351643317,28.271425734667929,46.91640426633888,1.0707334691332204e-20,True
classification_entropy,time_saved_pct,percent_training_time,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,best|,revision_designated_representative,122,122,38.614447409202924,29.033154168827672,0.95901639344262291,1.8430884015784867e-21,0.99253631880581106,32.884314893764049,44.360957477728249,21.484160395308649,40.392531360041076,1.0707334691332204e-20,True
classification_entropy,predictive_loss_pct,F1_percentage_points,secretary|1overe,secretary,1overe,confirmatory,best|,revision_designated_representative,122,115,0.076170916841913905,0.099620036951833524,0.44262295081967212,0.064274560054663241,0.19880059970014993,-0.19634351360193844,0.33203098636927042,0,0.34465045556147683,0.12854912010932648,False
classification_entropy,predictive_loss_pct,F1_percentage_points,double_secretary|1overe,double_secretary,1overe,confirmatory,best|,revision_designated_representative,122,112,0.093197959452189935,0.068798367461281318,0.44262295081967212,0.017422810328772048,0.25884955752212391,-0.083515176523179344,0.26713937123186565,0,0.26492936759097724,0.052268430986316144,False
classification_entropy,predictive_loss_pct,F1_percentage_points,secretary_all|1overe,secretary_all,1overe,confirmatory,best|,revision_designated_representative,122,110,0.028001626955621507,0.063826958288762392,0.44262295081967212,0.1410840383932406,0.16167076167076166,-0.16835027087362495,0.19561994156913118,0,0.19656348760022946,0.1410840383932406,False
classification_entropy,predictive_loss_pct,F1_percentage_points,block_rank|,block_rank,,confirmatory,best|,revision_designated_representative,122,119,5.8077035700820856,2.3639334815256428,0.18852459016393441,1.0752204864961014e-14,0.81652661064425769,4.2468977410945987,7.5887019092151879,1.8523803572426707,3.9483549501353976,8.6017638919688114e-14,True
classification_entropy,predictive_loss_pct,F1_percentage_points,prophet_1sample|,prophet_1sample,,confirmatory,best|,revision_designated_representative,122,107,0.18309825007189454,0.092734843712713455,0.42622950819672129,0.0047714093307664792,0.31429560401523016,-0.12125365963744274,0.47997400418469194,0,0.33221251331150953,0.019085637323065917,True
classification_entropy,predictive_loss_pct,F1_percentage_points,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,best|,revision_designated_representative,122,121,8.2629199780488367,4.4295193110982627,0.13114754098360656,2.2989975938348004e-17,0.88809104457390597,6.5546066973586843,10.1069656216344,3.1923089662467032,7.5120466557617274,2.0690978344513204e-16,True
classification_entropy,predictive_loss_pct,F1_percentage_points,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,best|,revision_designated_representative,122,120,2.7582129599395313,1.8018688557078055,0.18852459016393441,1.8578427267452885e-12,0.74104683195592291,2.0352989899674414,3.4917527972586528,1.2753179431011528,2.5955876595996297,1.300489908721702e-11,True
classification_entropy,predictive_loss_pct,F1_percentage_points,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,best|,revision_designated_representative,122,119,1.074633786734583,1.0762681693518545,0.25409836065573771,1.0868038218215057e-07,0.56106442577030813,0.59382249966518175,1.5425763319224972,0.66769256447297909,1.2837965725458467,6.5208229309290343e-07,True
classification_entropy,predictive_loss_pct,F1_percentage_points,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,best|,revision_designated_representative,122,113,0.39820199584374066,0.48561746946202133,0.34426229508196721,0.00037553635151462106,0.38549914609532682,0.01921376735496623,0.75192306392454067,0.21260729656112157,0.64236668006292175,0.0018776817575731053,True
classification_entropy,effort_saved_pct,percent_gain_evaluations,secretary|1overe,secretary,1overe,confirmatory,best|,revision_designated_representative,122,122,36.792078010675894,41.948087843485503,1,9.2399522827149226e-22,1,34.185659445256988,39.294034865176208,38.178692015398589,44.003856737474692,8.3159570544434308e-21,True
classification_entropy,effort_saved_pct,percent_gain_evaluations,double_secretary|1overe,double_secretary,1overe,confirmatory,best|,revision_designated_representative,122,122,-7.1134793502829021,-1.9266872792958523,0.38524590163934425,0.00013429796918914592,-0.3983739837398374,-9.8712134394238333,-4.5401868750874783,-6.3118896012443324,-0.4810372885312918,0.00013429796918914592,True
classification_entropy,effort_saved_pct,percent_gain_evaluations,secretary_all|1overe,secretary_all,1overe,confirmatory,best|,revision_designated_representative,122,119,14.308993702449088,15.050981104459662,0.99180327868852458,3.0308797785305266e-21,0.99943977591036415,13.275426491111103,15.35980702877378,13.634869201007159,15.941251003958117,2.4247038228244212e-20,True
classification_entropy,effort_saved_pct,percent_gain_evaluations,block_rank|,block_rank,,confirmatory,best|,revision_designated_representative,122,122,61.962552571769912,70.232498527327067,0.93442622950819676,1.1991278982918924e-20,0.97201119552179127,56.140869537199507,67.288783369425644,65.068229462422138,73.616387443380376,8.3938952880432471e-20,True
classification_entropy,effort_saved_pct,percent_gain_evaluations,prophet_1sample|,prophet_1sample,,confirmatory,best|,revision_designated_representative,122,115,38.937092654211817,41.997393961711438,0.97540983606557374,2.5256144128347333e-20,0.992503748125937,33.835694640673935,43.943763542280479,30.918768645375486,50.873256268603072,1.0664445661687863e-19,True
classification_entropy,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,best|,revision_designated_representative,122,122,81.279312739831596,95.819246206064179,0.95081967213114749,3.9636043693988826e-20,0.95868319338931096,74.819775152343027,87.055893084949759,92.592333502409872,97.239285641240429,1.1890813108196647e-19,True
classification_entropy,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,best|,revision_designated_representative,122,122,69.181483031034958,88.549477091293852,0.91803278688524592,1.1076208477662686e-18,0.92056510729041718,60.884842056342926,76.532225200440394,82.452925940014211,93.257827184280174,2.2152416955325372e-18,True
classification_entropy,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,best|,revision_designated_representative,122,122,66.461299232043018,83.766164970389326,0.90163934426229508,2.1328891323375727e-20,0.96561375449820075,59.776472824387412,72.623109227118562,74.122080558480903,89.771543074523876,1.0664445661687863e-19,True
classification_entropy,effort_saved_pct,percent_gain_evaluations,extra_tree|max_features=all,extra_tree,max_features=all,confirmatory,best|,revision_designated_representative,122,115,66.950866270145752,83.459272994686486,0.99180327868852458,1.420453267972387e-20,0.99910044977511248,60.871956032037588,72.596317997642856,77.842972535184572,87.495309184482167,8.5227196078343214e-20,True
